GEO.id2,HC01_VC03,HC01_VC36,HC01_VC43,HC01_VC52,HC01_VC62,HC01_VC70,HC01_VC76,HC01_VC85,HC01_VC101,HC01_VC106,HC01_VC119,HC01_VC130,HC01_VC140,HC01_VC146,HC01_VC160,HC01_VC171,HC01_VC186,TotalDrugReports
21001,7124,7712,8036,257,321,221,4826,12489,1457,3144,18864,19032,202,251,202,17693,3551,45.0
21003,8057,7863,8320,257,411,234,4755,13512,1439,3431,20005,20219,214,592,214,17951,3313,30.0
21005,8353,8202,8976,298,690,410,5224,14588,1566,3017,21335,21664,201,356,201,19688,5218,24.0
21007,3279,3366,3435,110,222,126,1856,5841,655,1303,8209,8274,65,110,65,7704,1668,0.0
21009,16789,16439,17817,487,836,419,10060,29028,2651,8046,42237,42691,669,787,669,38672,9857,50.0
21011,4361,4591,4818,212,476,339,2731,7965,529,2534,11697,11870,100,135,100,10771,2700,35.0
21013,11181,11080,12119,342,806,534,6089,19635,1757,8180,27970,28234,110,254,110,26114,9577,476.0
21015,43903,46151,47971,1710,2319,906,34336,79571,8632,13270,121466,123030,5514,6571,5514,106771,12947,215.0
21017,7782,7814,8335,212,474,254,4481,13761,1483,2868,19734,19972,888,940,888,17692,6011,27.0
21019,19533,19975,20607,545,1513,863,10881,35099,4506,9513,48792,49242,544,760,544,45562,8283,240.0
21021,10981,11917,12287,327,525,255,7650,19552,1956,4984,28893,29150,633,771,633,26612,7067,77.0
21023,3303,3331,3401,103,328,175,1867,5674,555,1271,8348,8459,92,99,92,7770,1244,24.0
21025,5434,5631,5709,155,507,342,2977,9460,584,4367,13559,13663,67,89,67,12698,5300,17.0
21027,7325,8011,8154,264,514,265,4524,13834,1638,3983,19850,20076,71,162,71,18444,3218,12.0
21029,28282,30004,31133,852,2040,808,18861,51310,5801,10735,75456,76093,749,1127,749,70703,22791,94.0
21031,5107,5159,5210,215,197,133,2666,8876,781,2519,12628,12797,219,253,219,11533,3523,8.0
21033,5320,4968,5492,211,405,166,2656,9017,1004,2229,12688,12880,28,72,28,12022,2706,19.0
21035,14854,15416,16840,394,812,458,12803,22927,2625,5197,37613,37981,1850,1965,1850,33999,8540,14.0
21037,35478,35974,38312,1164,1782,760,24829,60765,5905,11210,90019,91268,2083,2501,2083,81839,7388,654.0
21039,2075,1984,2148,53,102,35,1070,3553,377,744,4979,5031,41,49,41,4704,817,1.0
21041,4108,4319,4263,143,288,156,2359,7096,745,2053,10701,10871,481,487,481,9246,3468,100.0
21043,10525,10902,11467,297,655,492,6474,18496,1671,5264,27095,27439,120,166,120,25549,4756,146.0
21045,6186,6370,6618,250,541,292,3254,11056,1168,3288,15762,16002,197,235,197,14427,8058,36.0
21047,25734,29307,26723,1640,1504,870,19929,42455,6663,8663,72998,74459,2323,3784,2323,62770,14136,92.0
21049,14368,13897,14940,376,1028,582,8183,24799,2761,5874,35275,35633,506,806,506,32611,10814,156.0
21051,7652,9566,8194,302,542,398,4447,15057,881,4472,21149,21446,184,217,184,19632,3472,78.0
21053,3878,4054,4172,107,326,235,2379,6989,672,1558,10065,10192,122,136,122,9364,1586,29.0
21055,3812,3732,3741,113,319,185,1701,6468,771,1531,9136,9254,52,73,52,8288,1877,11.0
21057,2684,2654,2947,43,162,85,1481,4782,394,1141,6807,6829,27,46,27,6391,1166,14.0
21059,38000,37127,40599,1093,2145,1042,25318,65614,6946,14514,96542,97631,2110,2550,2110,87889,28171,69.0
21061,4734,5074,5068,83,158,132,2623,8511,926,3089,12046,12137,245,266,245,11076,2269,4.0
21063,2790,3724,2823,97,182,140,1415,5665,508,1492,7711,7781,13,13,13,7243,3731,34.0
21065,5706,5807,6069,158,465,313,3017,10277,804,3868,14365,14547,28,28,28,13606,4172,63.0
21067,124101,121634,128170,4003,4427,2388,91308,196497,17625,33899,300598,304473,27578,29972,27578,251388,43504,575.0
21069,5542,5565,6025,228,340,238,3375,9837,988,2980,14201,14505,31,31,31,13039,4675,8.0
21071,15438,15507,16433,401,1100,642,8060,27122,1903,11023,38637,39087,172,212,172,36300,11735,120.0
21073,21065,19464,21295,674,1105,744,11304,34200,3827,8009,48830,49509,1749,1935,1749,44312,10968,134.0
21075,2662,2668,2721,58,145,70,1307,4652,486,1256,6508,6550,27,46,27,5996,1355,11.0
21077,3024,3372,3335,135,441,218,1926,5620,843,1278,8402,8554,196,224,196,7719,1277,33.0
21079,6567,6673,7107,194,496,287,3727,11873,1182,3219,16749,16880,249,332,249,15631,5089,20.0
21081,8301,9421,9650,446,996,430,6344,15725,1658,3670,24269,24667,367,559,367,22207,5343,97.0
21083,14284,14522,15363,358,659,268,9044,25360,2511,5547,37085,37451,1257,1621,1257,32662,6572,51.0
21085,9839,10239,10503,191,577,345,6207,17504,1746,5367,25752,25934,102,169,102,23914,5705,34.0
21087,4474,4439,4751,82,51,19,2318,7888,753,2578,11083,11186,110,147,110,10225,3187,2.0
21089,14230,14323,15626,345,1616,977,8098,25858,2493,7136,36365,36656,300,388,300,34173,5603,63.0
21091,3367,3439,3390,87,209,109,2074,5770,799,1544,8558,8654,74,92,74,7919,1770,1.0
21093,39955,41878,42734,1610,2679,1043,29152,69128,14547,15981,105916,107565,4863,8776,4863,92592,18957,103.0
21095,11251,11211,12054,204,1061,773,6220,19715,1805,8629,28504,28744,205,225,205,26385,9021,265.0
21097,7257,7241,7804,143,537,392,4357,12793,1347,3389,18418,18643,299,372,299,17027,3156,103.0
21099,7135,7214,7454,368,441,220,4241,12336,1111,3751,18143,18427,176,261,176,16001,4011,11.0
21101,18875,17798,19489,569,1327,753,10999,31853,3027,8331,45927,46394,574,771,574,42185,7001,13.0
21103,5984,5965,6412,221,516,289,3580,10526,890,2551,15197,15427,223,267,223,14070,5301,25.0
21105,1992,1850,2123,98,188,101,1088,3456,370,873,4712,4790,35,47,35,4503,1176,2.0
21107,18533,18063,19598,495,1153,626,10287,32310,3282,7844,46233,46684,455,591,455,42735,13755,59.0
21109,5670,5301,5570,120,477,400,2959,9264,741,4223,13271,13370,53,65,53,12498,6829,43.0
21111,306511,289021,318655,9962,14208,7257,189848,511378,51813,109088,742190,751485,50345,55683,50345,643320,105553,1910.0
21113,18120,18904,20396,730,758,323,13494,31948,3328,7448,48988,49601,1632,2047,1632,44261,12759,261.0
21115,9134,9194,9761,239,590,424,5283,16190,1548,6611,23204,23390,114,284,114,21735,7375,74.0
21117,61962,62659,65702,2653,3828,1954,41583,107983,11358,22468,159746,161915,3913,4716,3913,144132,13883,695.0
21119,5776,6530,6743,205,589,360,3663,11035,689,4449,15937,16139,57,112,57,14957,4381,26.0
21121,12524,12307,13264,427,704,445,7647,21187,1591,6180,31344,31857,269,284,269,29528,5806,140.0
21123,5294,5730,5862,180,296,209,3340,9800,1299,2580,14002,14149,281,448,281,13015,3863,2.0
21125,23184,23096,24549,959,1539,797,13686,40485,3910,10712,58691,59535,700,923,700,54802,10572,258.0
21127,5940,6245,6529,109,314,201,3450,10863,789,3918,15728,15850,206,234,206,14576,4206,16.0
21129,2957,3592,2900,49,187,135,1540,5613,407,2324,7632,7681,79,79,79,7259,4116,22.0
21131,4212,4337,4747,62,204,124,2412,7766,441,3272,11029,11128,24,24,24,10414,4257,26.0
21133,9391,9531,10032,223,871,640,4986,16904,1306,6700,23738,23965,76,135,76,22207,7131,43.0
21135,5222,5580,5625,120,264,120,3224,9501,878,3170,13744,13848,28,54,28,12674,5487,34.0
21137,9693,9441,10207,333,750,290,5560,16775,1477,5083,24234,24546,84,158,84,22615,11044,26.0
21139,3708,3854,3969,49,236,171,1977,6817,543,2058,9356,9443,57,84,57,8723,1737,8.0
21141,10862,10483,11000,244,456,301,6268,18216,1778,4301,26552,26844,195,323,195,24388,4774,30.0
21143,3263,4111,3313,27,75,18,1278,6672,919,1677,8391,8415,93,118,93,7899,1989,24.0
21145,27409,25413,28158,752,1364,737,15017,46102,5599,10826,64889,65545,1524,1758,1524,59581,8664,87.0
21147,6210,8092,6659,44,566,456,4100,12667,1078,4736,18036,18073,141,228,141,16391,7056,83.0
21149,3744,3724,3928,133,270,126,2221,6576,770,1686,9418,9510,86,128,86,8769,3154,2.0
21151,31752,34000,36427,1117,1536,938,27771,52281,5848,13248,84459,85485,1702,2246,1702,77756,18727,393.0
21153,4928,5212,5337,201,379,245,3058,8910,351,3509,12906,13076,70,70,70,12303,5427,15.0
21155,7385,8239,7687,280,403,217,4768,13603,1266,2813,19714,19965,228,255,228,18193,4589,32.0
21157,12426,12649,13291,338,502,188,6336,22582,2605,4618,30924,31223,344,567,344,29250,5495,19.0
21159,4381,5906,4625,140,487,412,2497,8997,578,3526,12669,12750,108,240,108,11705,3675,11.0
21161,6636,6633,7331,192,232,141,3877,11792,1112,2809,17246,17398,72,161,72,15640,4449,78.0
21163,10557,11461,11424,418,846,402,7763,19042,3641,4441,28794,29203,492,1283,492,26449,5255,26.0
21165,2404,2646,2536,52,297,182,1406,4371,404,1482,6286,6337,68,68,68,5828,1533,1.0
21167,8770,8369,8962,298,512,197,5089,14893,1491,4109,21013,21311,393,636,393,19556,5403,63.0
21169,3918,3982,4101,193,278,168,2142,6939,576,2281,9850,10025,84,121,84,9297,2032,4.0
21171,4436,4383,4442,87,202,181,2457,7486,696,2488,10731,10837,213,263,213,9849,2591,0.0
21173,10288,10335,11220,492,702,305,6360,18183,1696,5157,26512,26983,265,322,265,24769,7649,243.0
21175,4841,6342,4937,186,364,188,2607,9802,600,2744,13352,13522,205,232,205,12530,5729,6.0
21177,11619,12939,12871,355,983,526,6871,21835,2195,6077,31145,31391,244,339,244,29244,9859,68.0
21179,16660,16911,18090,763,733,439,10872,29371,3136,7218,43659,44254,643,812,643,39967,9756,67.0
21181,2861,2817,2899,53,174,87,1512,4899,448,1113,6968,7064,33,42,33,6541,2428,22.0
21183,8573,9316,9688,406,763,429,5405,16154,1610,5045,23546,23956,407,465,407,21923,8506,11.0
21185,19610,25612,22774,543,932,331,18351,40803,4275,4618,61223,61711,1979,2613,1979,55873,14377,38.0
21187,4355,4199,4459,194,191,25,2387,7351,643,1980,10552,10740,48,116,48,10094,4174,24.0
21189,1740,1871,2034,44,191,132,997,3357,312,1569,4640,4686,11,44,11,4462,2700,3.0
21191,5349,5904,5959,104,326,200,3428,9904,900,2440,14528,14642,17,35,17,13642,1828,50.0
21193,11005,11180,11966,347,1010,603,6062,19703,1498,7274,27862,28261,170,170,170,26195,8281,155.0
21195,26312,25720,27253,797,2059,1068,14251,44860,2935,19250,63678,64380,491,680,491,59786,12963,187.0
21197,4628,4933,5064,211,433,309,2912,8382,615,3152,12305,12552,81,110,81,11593,4300,132.0
21199,26052,25001,26641,854,1656,1198,14233,44246,4581,13106,62914,63505,957,1247,957,58484,27525,109.0
21201,911,875,955,36,89,30,459,1544,143,409,2196,2239,0,0,0,2012,286,2.0
21203,6634,6797,7026,161,432,308,3945,11777,1166,3851,16810,16965,26,51,26,15939,6590,139.0
21205,8407,9386,10241,323,375,186,8176,13604,1194,3761,23137,23485,250,291,250,21637,7810,164.0
21207,7223,7050,7364,158,413,280,3582,12351,1035,3752,17450,17646,339,383,339,16261,4941,7.0
21209,18306,18625,19601,570,736,429,13634,31653,3388,6252,48593,49167,1590,1758,1590,43424,11469,127.0
21211,15665,16468,18193,709,876,386,10822,29316,3428,5137,43060,43581,2945,3202,2945,36914,10959,62.0
21213,6660,6716,7210,237,467,219,4036,11822,1003,2503,17377,17551,319,388,319,15885,2866,19.0
21215,6301,6923,6969,288,448,288,4455,11763,1314,2445,17229,17419,193,273,193,16041,4669,9.0
21217,9491,9801,10684,328,794,451,6421,16320,1291,4395,24713,25059,342,385,342,22777,6582,40.0
21219,4567,4731,4876,224,224,76,2945,8002,871,2035,12306,12499,271,329,271,10434,2071,2.0
21221,6055,5697,5946,166,411,187,3256,10198,1565,2367,14132,14277,184,296,184,12504,3449,8.0
21223,3578,3501,3540,117,95,50,2066,5976,647,1597,8739,8816,85,205,85,7932,2747,20.0
21225,5620,6476,6021,146,326,223,3747,9668,1198,3005,15034,15192,147,251,147,13904,3372,7.0
21227,44923,45857,49180,1505,1995,874,36750,71392,7067,16595,115621,117169,9741,10714,9741,98144,13321,35.0
21229,4514,4657,4949,188,281,123,3143,7938,703,2016,11675,11871,309,402,309,10860,2985,1.0
21231,8004,8409,8583,281,629,375,4394,14551,1063,5223,20561,20728,226,267,226,19076,5948,47.0
21233,5057,5414,5477,151,587,432,2876,9202,1114,2715,13281,13454,351,391,351,11905,3169,13.0
21235,12931,13791,14743,454,1268,835,9019,22940,2362,7489,35102,35557,201,272,201,32875,7609,153.0
21237,2826,2827,3001,99,210,121,1572,5035,382,2127,7121,7273,0,12,0,6814,3665,5.0
21239,9716,9688,10691,323,460,305,6194,17424,1955,3413,24809,25151,1218,1359,1218,21771,4473,30.0
39001,10734,11000,11449,298,606,406,6341,19080,2032,5685,28111,28342,94,124,94,25872,7077,164.0
39003,40191,42673,42260,1347,2020,814,28660,69276,7782,15317,104310,105562,1483,2166,1483,96209,8661,310.0
39005,20339,20900,22199,702,1142,511,13975,35059,3977,7168,52602,53202,1409,1542,1409,46835,7249,190.0
39007,38933,40636,40789,1174,2344,1079,23438,69248,8934,14551,99378,100346,1318,2605,1318,88996,13324,391.0
39009,22208,28145,28338,545,958,457,28458,34239,3598,9038,64343,64840,2639,3085,2639,58930,8672,282.0
39011,18115,17964,18606,518,658,275,11213,30989,3212,5359,45343,45867,519,695,519,41870,4588,36.0
39013,28007,29880,29045,544,1196,514,14023,50738,6121,10988,69382,69793,688,896,688,64970,4764,223.0
39015,16587,17482,18274,612,1419,659,10208,30276,3408,7478,44043,44464,233,301,233,41203,9522,112.0
39017,134934,142884,152351,5227,8183,3983,106127,235744,24477,41717,366322,371154,18919,21424,18919,323438,38638,1055.0
39019,10922,11651,11813,339,575,268,6482,20213,2535,3895,28276,28539,266,405,266,26312,4933,14.0
39021,15163,15745,16090,496,1150,409,9744,26716,3300,5637,39192,39628,378,553,378,36469,4612,85.0
39023,54969,53051,58092,1650,3074,1545,33975,93107,13195,21976,135842,137303,3146,3966,3146,123740,16379,49.0
39025,74187,77311,80872,2265,4229,1733,49656,133734,14368,24720,197290,199450,4907,5894,4907,180286,51194,452.0
39027,16052,16162,17290,553,908,488,10815,27598,3447,5690,41362,41871,357,618,357,38827,5393,168.0
39029,42184,44168,43969,1378,2480,1189,23013,75788,9566,16966,105438,106622,1263,1592,1263,98510,16168,320.0
39031,14561,14540,15087,465,708,368,7917,25219,3076,5153,36388,36768,165,370,165,32211,3747,36.0
39033,17625,16759,18357,467,732,351,9738,29905,3574,6673,42604,43036,282,469,282,40084,5055,238.0
39035,534721,487053,552676,14595,23910,10364,324356,873529,81921,178835,1254249,1267513,89602,109366,89602,1058924,38117,3529.0
39037,20929,20398,21499,659,799,471,12384,35624,3703,6951,52021,52537,416,586,416,48503,7353,138.0
39039,15332,15276,15845,466,720,325,9850,25945,3116,5072,38351,38795,765,947,765,34499,3261,192.0
39041,65029,67649,71069,2225,2637,660,53598,117784,10069,13184,179714,181821,11164,12688,11164,156548,14713,293.0
39043,31998,30668,32500,854,1375,624,17631,54077,7018,10936,75648,76416,1461,1836,1461,69894,3679,404.0
39045,54581,57947,59669,1804,3095,1294,39985,98411,11420,18840,146403,148067,4164,4883,4164,133962,13762,311.0
39047,11532,11198,11928,340,769,387,6799,19658,2173,4646,28496,28875,370,442,370,26252,4257,154.0
39049,474683,460616,496559,0,22266,9786,333461,779959,68231,138097,1181273,1197592,114402,124803,114402,975784,68980,2770.0
39051,16333,16451,17498,630,722,402,11090,28541,2611,5100,42109,42541,642,810,642,38440,2649,36.0
39053,11502,11886,12784,327,826,435,7493,20705,2189,5773,30380,30763,312,380,312,28142,3570,187.0
39055,34753,36540,38580,1060,1106,288,23397,63369,6264,9016,92911,93819,2792,3245,2792,78979,5618,116.0
39057,63549,65465,69499,2100,2786,1294,50201,106825,17228,19138,161638,163313,7603,9932,7603,144557,25332,359.0
39059,15564,15766,16614,373,882,476,8842,27413,3115,6615,39307,39794,336,512,336,36461,3934,266.0
39061,329062,306755,340219,10861,14170,7526,214884,534152,50048,98909,793117,803272,40195,45104,40195,697389,47037,4384.0
39063,30795,29382,31568,1036,774,394,19488,50472,5154,8461,74432,75290,1936,2192,1936,67529,10546,260.0
39065,11438,12516,13159,680,575,290,9607,19342,2244,4622,31392,31826,423,610,423,28582,4465,107.0
39067,6333,6392,6542,244,309,225,3114,11256,1604,2345,15507,15698,60,104,60,14510,1068,7.0
39069,11075,11040,11394,484,486,244,7154,19028,2215,3626,27607,28074,452,584,452,25364,2585,9.0
39071,16837,16783,17682,605,1010,586,10358,29158,3364,7679,42820,43266,300,450,300,39507,7432,199.0
39073,11426,11713,11797,312,710,419,7148,20043,2621,4647,28857,29111,291,406,291,27090,3895,51.0
39075,12516,15473,15571,633,657,295,9371,24360,1641,3648,42534,43176,397,632,397,20092,4470,11.0
39077,22507,22891,23925,611,1295,542,14824,39416,4250,7960,58601,59186,1738,1977,1738,51895,5566,239.0
39079,13204,12701,13724,562,899,470,7629,22296,2765,6660,32419,32952,157,246,157,29677,4492,203.0
39081,28176,27576,30015,694,1422,909,15922,48418,6183,12057,67987,68510,827,1170,827,63542,3922,132.0
39083,22642,23743,25385,797,994,301,15502,39413,4351,8255,60402,61063,939,1137,939,53555,5891,37.0
39085,94089,91393,97930,2372,3342,1039,54474,162635,17310,25735,227264,229602,12365,13565,12365,201693,10766,931.0
39087,23622,24344,26041,652,1912,887,14505,42755,5285,12931,61372,62100,235,388,235,57835,7617,163.0
39089,64146,65003,69500,2012,3293,1518,44647,112396,14733,22528,166128,167911,3182,4104,3182,152649,17350,250.0
39091,18471,17737,18651,641,838,420,10439,30874,3322,6769,45009,45564,572,717,572,40891,7447,97.0
39093,117134,119196,125675,3162,6475,2772,79615,205720,22525,41857,299594,302465,8613,14933,8613,262828,20079,76.0
39095,178121,168822,183919,5564,8012,3728,119530,288897,28613,64585,432954,438167,15471,17387,15471,384687,19712,506.0
39097,14676,19866,15819,486,757,353,10271,30178,3396,5370,42854,43326,733,956,733,39572,7032,249.0
39099,97624,93922,101882,2391,4235,2043,57624,165979,19343,36321,233529,235809,7216,10098,7216,209128,16232,798.0
39101,24586,29238,25261,862,1535,942,14555,46232,5359,10834,65344,66171,761,1044,761,60021,8149,286.0
39103,65950,68216,71377,1967,2687,869,45038,119108,12753,16635,172496,174091,4976,5899,4976,155966,9150,281.0
39105,9486,9425,9820,261,513,239,4952,16522,1830,4773,23338,23564,69,129,69,22091,2913,22.0
39107,15923,15999,16166,630,479,264,9731,27077,2808,4505,40203,40789,326,477,326,37247,4162,91.0
39109,41169,40519,42675,836,1405,693,25316,71033,8397,13089,102300,103145,1776,2374,1776,94222,11603,203.0
39111,6056,5992,6018,152,193,86,2820,10456,1369,2569,14436,14590,20,40,20,13356,1366,65.0
39113,222673,205843,228589,6786,10700,5575,146434,362289,44306,80508,528477,534801,20612,25716,20612,474144,41646,3057.0
39115,6056,5994,6228,188,279,136,3256,10451,1317,2733,14846,14977,70,140,70,13920,1539,2.0
39117,12640,13803,14031,437,1183,609,8601,23477,2610,4810,34642,34991,199,290,199,31626,4181,76.0
39119,34160,33204,36238,900,1533,628,21507,57790,6258,13511,85096,85947,876,1106,876,79149,9609,141.0
39121,4916,7392,5381,141,401,118,2232,11291,1372,2277,14461,14561,101,175,101,13463,1378,19.0
39123,17366,17087,17505,350,460,278,8737,30387,3639,6391,40918,41304,422,562,422,38067,2695,50.0
39125,7798,7606,7838,280,416,219,4627,13125,1539,3071,19064,19293,220,293,220,17415,2063,14.0
39127,13637,14279,14454,488,742,280,8777,23934,2790,5892,35536,36000,133,232,133,33331,3827,62.0
39129,19435,24315,21564,719,1496,771,13730,38376,4267,7982,55648,56279,282,659,282,52414,10029,243.0
39131,10944,11242,11579,310,1018,402,6518,19203,2080,6337,28156,28504,144,227,144,25832,3410,62.0
39133,61042,65740,69880,1583,2642,1310,48325,102981,11954,19049,160023,161553,5230,6097,5230,147462,8888,367.0
39135,16151,16489,17321,353,865,337,10120,28756,3445,6705,41621,41887,536,706,536,38736,5492,31.0
39137,13006,13340,13555,437,440,236,8884,22645,2024,3323,33894,34256,301,376,301,30917,3469,0.0
39139,48211,50871,49611,1462,2259,1174,28503,85359,10558,16302,121513,122813,1715,2231,1715,112013,11130,294.0
39141,28209,33610,29837,779,1896,969,18310,54217,6783,12606,76771,77552,661,1019,661,70994,9317,293.0
39143,23831,23746,24958,666,1296,706,15055,41372,4579,8444,59837,60498,913,1091,913,53924,4655,122.0
39145,29558,31401,32683,940,2643,1807,19506,53474,6137,16229,77905,78520,789,1005,789,72733,9999,312.0
39147,21539,22535,22988,556,770,437,14889,37092,4318,7604,55607,56100,700,892,700,51525,4613,162.0
39149,18616,18809,19530,669,841,445,12741,32237,3350,5648,48581,49165,812,980,812,44638,5327,142.0
39151,149756,146768,160024,4524,6741,2939,96427,257905,30626,49567,370776,375090,7381,9096,7381,341251,29806,664.0
39153,220710,212210,231363,6313,9247,4005,139190,372056,39016,67132,535665,541464,24346,27830,24346,480816,39358,444.0
39155,86565,82367,88915,1982,4065,1804,45671,146281,17950,29984,205563,207596,3215,4014,3215,186200,41186,554.0
39157,36366,36518,38439,1035,1553,563,21565,63870,7593,12037,91533,92616,1190,1628,1190,82432,8176,65.0
39159,18291,19371,22186,650,853,363,13858,35074,3505,5602,52550,53090,1578,1851,1578,47662,6821,38.0
39161,11388,11177,11878,320,524,238,6965,19587,2186,4011,28290,28612,242,316,242,26363,2894,66.0
39163,5137,5359,5382,283,422,234,3259,9058,913,2459,13115,13319,31,39,31,12333,1601,25.0
39165,77328,84730,84938,2653,3546,1514,59867,144351,14490,19528,215190,217623,12213,13529,12213,188707,23794,365.0
39167,24923,24930,26456,667,1306,461,13692,43394,5372,11367,60875,61473,810,1124,810,57194,7206,127.0
39169,42593,44511,46694,1486,2121,912,28881,74748,7440,13190,113604,114978,2189,2606,2189,95808,12255,223.0
39171,15001,14960,15380,547,833,361,9084,25896,2980,5025,36995,37493,667,827,667,34179,2919,5.0
39173,49561,51391,54710,1645,1716,702,41938,78913,8158,12520,126784,128139,4200,4965,4200,114646,7150,225.0
39175,9327,8857,9252,271,463,225,5335,15537,1660,2973,22293,22535,288,321,288,20393,2658,73.0
42001,37956,41031,42918,1007,2212,904,24311,69921,8372,13429,100717,101566,4004,4966,4004,90221,10292,50.0
42003,527445,491168,543210,13906,16839,6991,294258,871951,87809,158019,1216651,1229172,64044,72162,64044,1082489,47217,4639.0
42005,28616,28271,29025,572,1080,401,13357,49791,6003,12611,67796,68343,351,479,351,63875,4643,177.0
42007,70336,67992,74390,1635,3140,1262,36634,122580,15100,25376,168765,170124,2999,3869,2999,156337,6883,181.0
42009,20145,20331,20549,482,840,439,9754,35370,4195,8439,48953,49332,327,493,327,45316,5418,30.0
42011,153857,162618,171706,5209,8084,3100,106133,275438,29256,53661,408413,413016,28673,44158,28673,322101,20369,518.0
42013,50948,50514,54421,1286,2526,1232,26951,88648,12322,20038,125485,126708,1540,1929,1540,116079,8713,399.0
42015,24338,25000,26061,758,1281,586,12925,43914,5896,8929,61826,62510,916,1228,916,56994,4761,88.0
42017,231959,249825,264751,6498,11732,2927,152149,439152,39214,64031,620412,626205,50263,57071,50263,529337,34240,2210.0
42019,74138,74855,77962,1739,2049,972,46165,128305,14959,21163,183424,185034,3489,4276,3489,170719,10044,190.0
42021,57959,58043,60288,1383,2022,943,31743,100239,12679,24051,139562,140835,1673,2280,1673,129562,6812,447.0
42023,2214,2099,2147,38,109,72,838,3731,571,892,4899,4939,70,80,70,4651,647,0.0
42025,25764,26640,27524,527,1476,562,13440,47302,5977,11112,64382,64874,1872,2413,1872,58922,3539,95.0
42027,57283,71192,64969,1469,1307,468,60473,88514,9157,14658,154889,156240,11524,13028,11524,134771,8755,60.0
42029,185306,197926,208558,6087,7565,2155,135576,338850,29963,39403,500777,506422,45765,51378,45765,419001,23257,468.0
42031,15846,16110,17200,438,511,194,10294,25826,3037,6225,39060,39437,456,595,456,35998,2844,39.0
42033,31863,35835,32947,778,1317,748,15742,59268,7468,12349,80835,81472,2162,2703,2162,74308,13635,37.0
42035,14947,15899,17027,400,635,324,10848,25099,3341,5604,39264,39611,516,728,516,35383,3156,69.0
42037,26413,27110,30010,704,981,363,18735,43801,4803,7325,66503,67089,1572,1991,1572,61781,3858,123.0
42039,34713,34832,37345,1134,1137,469,19902,60100,7633,14037,86874,87801,1025,1378,1025,77635,5653,60.0
